rubro;subrubro-marca;subdetalle;importe
Almacenamiento;pendrive;4 GB KINGSTON DT100/DT101/DT110/DT120/DTIG2/C10;5
Almacenamiento;pendrive;8 GB KINGSTON DT100/DT101/DT110/DT120/DTIG2/C10;7
Almacenamiento;pendrive;8 GB BOCA JUNIORS - PALERMO (SuperTalent);13
Almacenamiento;pendrive;8 GB RIVER PLATE - ORTEGA (SuperTalent);8
Almacenamiento;pendrive;8 GB ROSARIO CENTRAL - COUDET (SuperTalent);8
Almacenamiento;pendrive;8 GB NOB - MARADONA (SuperTalent);8
Almacenamiento;pendrive;16 GB KINGSTON DTSE8;13
Almacenamiento;pendrive;32 GB KINGSTON DT100/DTIG2;19
Almacenamiento;sd;MEMORIA SD 16 GB HC UHS-I C10 40MB SONY;26
Almacenamiento;sd;MEMORIA SD 16 GB HC C10 30MB 200X SANDISK;20
Almacenamiento;sd;MEMORIA SD 16 GB HC C10 HD VIDEO 30MB KINGSTON;17
Almacenamiento;sd;MEMORIA SD 16 GB HC UHS-I C10 600X 90 MB PANASONIC;46
Almacenamiento;sd;MEMORIA SD 16 GB HC C10 600X 90MB SANDISK;30
Almacenamiento;sd;MEMORIA SD 16 GB HC UHS-I C10 600X 90 MB PNY;30
Almacenamiento;sd;MEMORIA SD 32 GB HC UHS-I C10 600X 90MB PANASONIC;77
Almacenamiento;sd;MEMORIA SD 32 GB HC C10 633X 95MB LEXAR;45
Almacenamiento;sd;MEMORIA SD 32 GB HC UHS-I C10 40MB SONY;38
Almacenamiento;sd;MEMORIA SD 32 GB HC C10 30MB 200X SANDISK;32
Almacenamiento;sd;MEMORIA SD 32 GB HC C10 48MB 320X SANDISK;22
Almacenamiento;sd;MEMORIA SD 32 GB HC UHS-I 60MB 400X SANDISK EXTREM;50
Almacenamiento;sd;MEMORIA SD 32 GB HC UHS-I 90MB 600X SANDISK EXTREM;46
Almacenamiento;sd;MEMORIA SD 32 GB HC UHS-I 95MB 633X SANDISK EXTREM;52
Almacenamiento;sd;MEMORIA SD 32 GB HC C10 HD VIDEO 30MB KINGSTON;34
Almacenamiento;sd;MEMORIA SD 32 GB HC C10 HD VIDEO 45MB KINGSTON;21
Almacenamiento;sd;MEMORIA SD 64 GB HC C10 HD VIDEO 45MB KINGSTON;36
Almacenamiento;sd;MEMORIA SD 64 GB XC UHS-I C10 300X 45MB LEXAR;75
Almacenamiento;sd;MEMORIA SD 64 GB XC UHS-I C10 40MB SONY;65
Almacenamiento;sd;MEMORIA SD 64 GB XC UHS-I C10 400X 60MB LEXAR;89
Almacenamiento;sd;MEMORIA SD 64 GB XC UHS-I 60MB 400X SANDISK EXTREM;99
Almacenamiento;sd;MEMORIA SD 64 GB XC UHS-I 95MB 633X SANDISK EXTREM;95
Almacenamiento;sd;MEMORIA SD 128 GB HC C10 HD VIDEO 45MB KINGSTON;69
Almacenamiento;sd;MEMORIA SD 8 GB HC UHS-I C10 40MB SONY;8
Almacenamiento;sd;MEMORIA SD 8 GB HC C10 30MB 200X SANDISK;13
Almacenamiento;sd;MEMORIA SD 8 GB HC C10 HD VIDEO 30MB KINGSTON;12
Almacenamiento;micro sd;4 GB KINGSTON c/ADAPTADOR SD HC C.4;7
Almacenamiento;micro sd;8 GB KINGSTON c/ADAPTADOR SD HC C.4;6
Almacenamiento;micro sd;8 GB KINGSTON c/ADAPTADOR SD HC C.10;9
Almacenamiento;micro sd;8 GB KINGSTON c/ADAPTADOR SD HC C.10 45 MB;7
Almacenamiento;micro sd;8 GB SANDISK c/ADAPTADOR SD HC C.10 200X 30 MB;11
Almacenamiento;micro sd;8 GB SANDISK c/ADAPTADOR SD HC C.10 320X 48 MB;8
Almacenamiento;micro sd;16 GB KINGSTON c/ADAPTADOR SD HC C.4;14
Almacenamiento;micro sd;16 GB SANDISK c/ ADAPTADOR SD HC C.4;15
Almacenamiento;micro sd;16 GB SANDISK c/ ADAPTADOR SD HC C.10 200X 30 MB;17
Almacenamiento;micro sd;16 GB SANDISK c/ADAPTADOR SD HC C.10 320X 48 MB;15
Almacenamiento;micro sd;16 GB SANDISK c/ADAPTADOR SD HC C.10 533X 80 MB;19
Almacenamiento;micro sd;16 GB KINGSTON c/ADAPTADOR SD HC C.10;21
Almacenamiento;micro sd;16 GB KINGSTON c/ADAPTADOR SD HC C.10 45 MB;14
Almacenamiento;micro sd;32 GB KINGSTON c/ADAPTADOR SD HC C.10;19
